beautiful_beard                     # Beautiful Beard
nick_al_aftah                       # al-Aftah
nick_al_askari                      # al-Askari
nick_al_baqir                       # al-Baqir
nick_al_hadi                        # al-Hadi
nick_al_kazim                       # al-Kazim
nick_al_mahdi                       # al-Mahdi
nick_al_rida                        # al-Rida
nick_al_sadiq                       # al-Sadiq
nick_al_taqi                        # al-Taqi
nick_all_seeing                     # All-Seeing
nick_bloodaxe                       # Bloodaxe
nick_bluetooth                      # Bluetooth
nick_builder                        # Aghmashenebeli
nick_butter_teeth                   # Butterteeth
nick_caulker                        # Kalaphates
nick_darc                           # d'Arc
nick_deaf                           # the Deaf
nick_fairhair                       # Fairhair
nick_gille                          # Gille
nick_gods_cannibal                  # the Eater of [saint_person.Religion.GetHighGodName]
nick_gods_drunkard                  # Drunken Friend of [saint_person.Religion.GetHighGodName]
nick_gods_hedonist                  # the Hedonist of [saint_person.Religion.GetHighGodName]
nick_gods_seducer                   # the Lover of [saint_person.Religion.GetHighGodName]
nick_gods_torturer                  # the Impaler of [saint_person.Religion.GetHighGodName]
nick_haardraade                     # Hårdråde
nick_half_hand                      # Half-Hand
nick_hardeknud                      # Hardeknud
nick_hildetand                      # Wartooth
nick_iron_fist                      # Iron Fist
nick_iron_hand                      # Iron Hand
nick_ironarm                        # Iron-Arm
nick_lodbrok                        # Loðbrok
nick_longshanks                     # Longshanks
nick_lord_lady_ground               # [Root.GetLordLady] [battlefield_location.GetGroundDescCap]
nick_lord_lady_of_the_terrain       # [Root.GetLordLady] of the [battlefield_location.GetTerrainCap]
nick_of_a_thousand_faces            # of a Thousand Faces
nick_of_the_empty_pockets           # of the Empty Pockets
nick_of_the_nine_hostages           # of the Nine Hostages
nick_of_the_wilds                   # of the Wilds
nick_one_eye                        # One-Eye
nick_one_hand                       # One-Hand
nick_one_leg                        # the Legless
nick_papal_lover                    # the Papal Lover
nick_peg_leg                        # Peg Leg
nick_priest_hater                   # Priest-Hater
nick_ring                           # Ring
nick_rollo                          # Rollo
nick_snake_in_the_eye               # Snake-in-the-eye
nick_son_of_evilgod                 # [This.GetSonDaughterCap] of [This.Religion.GetRandomEvilGodName]
nick_spear                          # Kesja
nick_stone_fist                     # Stone Fist
nick_swift                          # the Swift
nick_the_able                       # the Able
nick_the_abomination                # the Abomination
nick_the_absolved                   # the Absolved
nick_the_accursed                   # the Accursed
nick_the_adjudicator                # the Adjudicator
nick_the_affable                    # the Affable
nick_the_affluent                   # the Affluent
nick_the_alchemist                  # the Alchemist
nick_the_ambitious                  # the Ambitious
nick_the_angel                      # the Angel
nick_the_angel_of_location          # the Angel of Jerusalem
nick_the_apostate                   # the Apostate
nick_the_apostle                    # the Apostle
nick_the_architect                  # the Architect
nick_the_armorsmith                 # the Armorsmith
nick_the_artist_ruler               # the Artist-[Root.GetTitle]
nick_the_astrologer                 # the Astrologer
nick_the_avenger                    # the Avenger
nick_the_awoken                     # the Awoken
nick_the_bald                       # the Bald
nick_the_ballless                   # the Apokopos
nick_the_bane_of_realmname          # the Bane of [nickname_target.PrimaryTitle.GetName]
nick_the_bard                       # the Bard
nick_the_barefoot                   # Berrføtt
nick_the_bastard                    # the Bastard
nick_the_bastion_of_capital         # the Bastion of [Root.Capital.GetName]
nick_the_beanstalk                  # the Beanstalk
nick_the_bear                       # the Bear
nick_the_beef_thrasher              # the Beef-Thrasher
nick_the_beguiling                  # the Beguiling
nick_the_beheader                   # the Beheader
nick_the_belligerent                # the Belligerent
nick_the_bellower                   # the Bellower
nick_the_benevolent                 # the Benevolent
nick_the_betrayer                   # the Betrayer
nick_the_bewitched                  # the Bewitched
nick_the_black                      # the Black
nick_the_black_boar                 # the Black Boar
nick_the_black_skull                # the Black Skull
nick_the_black_widow                # the Black Widow
nick_the_bleeder                    # the Bleeder
nick_the_bleeding_eyes              # Bleeding-Eyes
nick_the_blessed                    # the Blessed
nick_the_blind                      # the Blind
nick_the_blood_monger               # the Bloodmonger
nick_the_bloodhound                 # the Bloodhound
nick_the_bloodlime                  # Bloodlime
nick_the_bloody                     # the Bloody
nick_the_blushing                   # the Blushing
nick_the_boar                       # the Boar
nick_the_bold                       # the Bold
nick_the_bone_gnasher               # the Bonegnasher
nick_the_bone_squeezer              # the Bone-Squeezer
nick_the_boneless                   # the Boneless
nick_the_bottomless                 # the Bottomless
nick_the_brave                      # the Brave
nick_the_broken_lute                # Broken Lute
nick_the_broken_nail                # Broken-Nail
nick_the_brute                      # the Brute
nick_the_bull                       # the Bull
nick_the_bulwark                    # the Bulwark
nick_the_burden                     # the Burden
nick_the_butch                      # the Butch
nick_the_butcher                    # the Butcher
nick_the_cannibal                   # the Cannibal
nick_the_careless                   # the Careless
nick_the_carpenter                  # the Carpenter
nick_the_castellan                  # the Castellan
nick_the_celestial                  # the Celestial
nick_the_champion_of_province       # the Champion of [Root.Location.GetName]
nick_the_chaste                     # the Chaste
nick_the_cheater                    # the Cheater
nick_the_chest_buster               # the Chestbuster
nick_the_chosen_of_gabriel          # the Chosen of Gabriel
nick_the_civilized                  # the Civilized
nick_the_cleansing_flame            # the Cleansing Flame
nick_the_clueless                   # the Clueless
nick_the_clumsy                     # the Clumsy
nick_the_compassionate              # the Compassionate
nick_the_confessor                  # the Confessor
nick_the_conqueror                  # the Conqueror
nick_the_cowardly                   # the Cowardly
nick_the_crimson_flurry             # the Crimson Flurry
nick_the_crimson_gorgon             # the Crimson Gorgon
nick_the_crimson_reaper             # the Crimson Reaper
nick_the_cruel                      # the Cruel
nick_the_crusader                   # the Crusader
nick_the_culture                    # the [Root.Culture.GetName]
nick_the_culture_marauder           # the [nickname_receiver.Culture.GetName] Marauder
nick_the_cunning                    # the Cunning
nick_the_cyclops                    # the Cyclops
nick_the_deaths_child               # the Reaper's Child
nick_the_decadent                   # the Decadent
nick_the_defender                   # the Defender
nick_the_deliverer                  # the Deliverer
nick_the_depraved                   # the Depraved
nick_the_despoiler                  # the Despoiler
nick_the_destroyer                  # the Destroyer
nick_the_devil                      # the Devil
nick_the_diplomat                   # the Diplomat
nick_the_dove                       # the Dove
nick_the_dragon                     # the Dragon
nick_the_dragoness                  # the Dragoness
nick_the_dreaded                    # the Dreaded
nick_the_drunkard                   # the Drunkard
nick_the_dry_throat                 # Dry-Throat
nick_the_dust_biter                 # Dust-Biter
nick_the_eastern_wind               # the Eastern Wind
nick_the_educator                   # the Educator
nick_the_eerie                      # the Eerie
nick_the_effeminate                 # the Effeminate
nick_the_elder                      # Elder
nick_the_enlightened                # the Enlightened
nick_the_eternally_remembered       # Emune
nick_the_evil                       # the Evil
nick_the_exalted                    # the Exalted
nick_the_exalted_chosen_of_province # the Exalted Chosen of [Root.Location.GetName]
nick_the_executioner                # the Executioner
nick_the_explorer                   # the Explorer
nick_the_faceless                   # the Faceless
nick_the_fair                       # the Fair
nick_the_fairest_of_location        # the Fairest of [Root.Location.GetName]
nick_the_fat                        # the Fat
nick_the_fearless                   # the Fearless
nick_the_feeble                     # the Feeble
nick_the_ferrante                   # Ferrante
nick_the_festive                    # the Festive
nick_the_flail_of                   # the Flail of [Root.Liege.PrimaryTitle.GetName]
nick_the_flat_chested               # the Flat-Chested
nick_the_flayer                     # the Flayer
nick_the_floor_kisser               # the Floor-Kisser
nick_the_flower                     # the Flower
nick_the_fool_for_christ            # the Fool-for-[GetJesus]
nick_the_forgetful                  # the Forgetful
nick_the_founder                    # the Founder
nick_the_fowler                     # the Fowler
nick_the_fox                        # the Fox
nick_the_frail                      # the Frail
nick_the_frantic                    # the Frantic
nick_the_frog                       # the Frog
nick_the_fury                       # the Fury
nick_the_generous                   # the Generous
nick_the_gentle                     # Kyrre
nick_the_german                     # the German
nick_the_giant                      # the Giant
nick_the_girls_arm                  # Girl-Arm
nick_the_glorious                   # the Glorious
nick_the_gnat                       # the Gnat
nick_the_god_bearing                # the Godbearing
nick_the_gods_arm                   # the Arm of [Root.Religion.GetRandomGodName]
nick_the_gods_champion              # the Gods' Champion
nick_the_goldsmith                  # the Goldsmith
nick_the_goliath                    # the Goliath
nick_the_good                       # the Good
nick_the_gouty                      # the Gouty
nick_the_graceful                   # the Graceful
nick_the_gracious                   # the Gracious
nick_the_grand_matriarch            # the Grand Matriarch
nick_the_grand_patriarch            # the Grand Patriarch
nick_the_grandiose                  # the Grandiose
nick_the_great                      # the Great
nick_the_great_beast                # the Great [Root.GetRegionalBigAnimalCap]
nick_the_great_eagle                # the Great Eagle
nick_the_green_faced                # the Green-Faced
nick_the_green_warrior              # the Green Warrior
nick_the_griffin                    # the Griffin
nick_the_grim_mistress              # the Grim Mistress
nick_the_grinner                    # the Grinner
nick_the_ground_warrior             # the [battlefield_location.GetGroundDescCap]-Warrior
nick_the_guardian                   # the Guardian
nick_the_guide                      # the Guide
nick_the_hammer                     # the Hammer
nick_the_handsome                   # the Handsome
nick_the_harth_of_location          # the Hart of [Root.Location.GetName]
nick_the_hawk_of_quarysh            # the Hawk of Quarysh
nick_the_headless                   # the Headless
nick_the_healer                     # the Healer
